"","race_cat","hb_rel_risk","lcr_rel_risk","pfas_rel_risk","dbp_rel_risk","tcr_rel_risk","ars_rel_risk","nitrate_rel_risk","boundary"
"1","amer_ind",3.16319071947057,0.655021112576182,0.970158126415342,0.939692386278426,0.741377648930695,1.77876038016664,1.00948602153303,"epic"
"2","asian",0.599645372235532,1.73233985501357,1.41480655961202,0.987349954548954,1.65859533810735,1.01659343250633,1.59244003072579,"epic"
"3","black",1.1603499427348,1.32228395050752,1.187064322402,1.08715617665457,1.54457899213883,0.587379519773373,0.750398416505093,"epic"
"4","hisp",1.09613565141225,1.08777190711903,1.45355706260321,0.942811879460284,0.964948674043737,1.7003593444849,1.47360812171,"epic"
"5","pac_isl",0.413562344876883,0.799990936938684,0.847866977064879,0.665174638379658,2.50820272181962,1.15346205581623,1.40441481453835,"epic"
"6","poc_risk",1.07227411316847,1.25395799212216,1.32866733832917,0.998126424414724,1.28068142747693,1.20570851279066,1.22925302622974,"epic"
"7","lowinc",1.26992153767686,1.00625263950499,0.941800591932434,1.01722683778382,1.0256610096691,1.03350834970329,0.966411519858663,"epic"
"8","amer_ind",3.07564472670988,0.58829713011725,0.653384825678172,0.990475464564587,0.761197788876157,2.1326685967112,0.991950075946331,"usgs"
"9","asian",0.600916435686339,1.48279271363058,1.44113083649189,1.04068551301283,1.60079556406975,0.901734965168578,1.30935982798457,"usgs"
"10","black",1.20191041615384,1.10359103475279,1.12884389364683,1.15589496680254,1.60843169689391,0.517038845199052,0.802284652179872,"usgs"
"11","hisp",1.01006480145111,0.962529626784497,1.22730802656934,0.997259229522789,1.01787717497874,1.66117886697003,1.26010597866039,"usgs"
"12","pac_isl",0.63915567035155,0.895306670907699,0.860949501534051,0.934301006965149,1.15919989476998,1.76136342211936,1.31192813237085,"usgs"
"13","poc_risk",1.03979461570901,1.08852454039625,1.20392780171235,1.05812409866461,1.31476094159681,1.14204937982024,1.10060905688074,"usgs"
"14","lowinc",1.23775850933958,0.971281549764442,0.847709048323203,1.02338983139272,0.969056000644153,1.07937584266003,0.975396747315142,"usgs"
"15","amer_ind",2.59859451924366,0.555571791235801,0.831558940114056,0.94573089544662,0.694101206709948,1.98711882164113,1.00484217761151,"zc"
"16","asian",0.672029730873969,1.524113798486,1.39908853470944,0.954693800120508,1.55791465490678,1.04310282874676,1.64447193897746,"zc"
"17","black",1.09839644743696,1.19225983759154,1.05398596591384,1.09325790508037,1.42358511248515,0.639243989368365,0.786074019163735,"zc"
"18","hisp",1.08668596023504,0.982588905454292,1.33397483806666,0.931494752646561,0.963102992797932,1.77711977881961,1.5166856508034,"zc"
"19","pac_isl",0.451575642489815,0.687244158124062,0.863604343760943,0.688257401928835,2.1531679182568,1.36406354070947,1.42416319101369,"zc"
"20","poc_risk",1.03737730875362,1.13042053784619,1.22964851578783,0.986856760472464,1.21733432989251,1.27873461195611,1.28392497752674,"zc"
"21","lowinc",1.19424751298292,0.987782809746414,0.921777677479297,1.01619440843393,0.98881310749825,1.08229725605438,0.989653306241938,"zc"
"22","amer_ind",2.72248647212854,0.630152321412887,0.864889891366376,0.947750881873368,0.762099214233734,2.13281678887999,0.970419043112262,"county"
"23","asian",0.678352803489996,2.08709474875602,1.28448152725678,1.02628033022938,2.00573713062947,0.974268727753011,1.46559272313198,"county"
"24","black",1.06552504025342,1.18282503824347,1.05322190971571,1.08613306943399,1.44084485547321,0.640451178340184,0.794348764073788,"county"
"25","hisp",0.969704587443944,1.0268377331638,1.30827648094492,0.953136511830115,0.952672182937176,1.74322349604383,1.44059991050984,"county"
"26","pac_isl",0.502570451264576,0.854704245649273,0.829436217611786,0.692807071253305,2.25935514054001,1.28854902983255,1.35963299202415,"county"
"27","poc_risk",0.98361291495507,1.24121495066202,1.20094790753467,1.00628980416838,1.28178016015508,1.25784516918581,1.2218912439117,"county"
"28","lowinc",1.15867853896437,0.906694388408151,0.929385709293027,1.00766572466852,0.961959704137918,1.0904652032171,0.99509213799196,"county"
"29","amer_ind",3.1217220268903,0.555558277767905,0.777807250483025,0.906150143715335,0.747531164449715,2.05744249749864,1.04264691470543,"hm"
"30","asian",0.617146053021023,1.57806071502855,1.35881679298321,0.985499096750893,1.7045225100526,0.983239450781554,1.61993876276362,"hm"
"31","black",1.16591189388792,1.22005149179312,1.03536030728347,1.11781602303108,1.53949144352108,0.600161984700047,0.76797505346625,"hm"
"32","hisp",1.09205085293949,0.945574139410926,1.31389287708692,0.949673618492704,1.00972721184159,1.76244278085154,1.51861103757448,"hm"
"33","pac_isl",0.43490134634722,0.728808746991555,0.837397060833758,0.699557706606983,2.19971639009914,1.23802513734611,1.35926503166526,"hm"
"34","poc_risk",1.08084731643494,1.12263521395823,1.20101386351305,1.00980153544725,1.29538441015268,1.24506408030035,1.2627797781298,"hm"
"35","lowinc",1.25337693818084,0.931804886540236,0.913143996953966,1.01961333257612,1.01231298344519,1.07958664250451,0.9824827285467,"hm"
